benchmark_dynamic.py --num_seeds 8 --solver_seed 1 --num_procs 16 --strategy oracle --instance_pattern instances/ORTEC-VRPTW-ASYM-*.txt --epoch_tlim 600 --phase None --aggregate False

Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            4  385557   600.066
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            5  376242   600.065
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            6  365662   600.072
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            7  394052    600.06
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            0  331743   600.068
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            1  317458   600.064
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            2  303645   600.072
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            3  331069   600.081
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            4  326928   600.076
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            5  333112   600.073
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            6  336184   600.074
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            7  346406   600.068
ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12            0  417928    600.05
